Circuit Name,Track Length (km),Track Type,Average Wear Rate
Bahrain International Circuit,5.412,circuit,1.5
Jeddah Corniche Circuit,6.174,street,1.8
Albert Park Circuit,5.278,street,1.3
Imola Circuit,4.909,circuit,1.2
Miami International Autodrome,5.412,street,1.4
Circuit de Barcelona-Catalunya,4.675,circuit,1.6
Circuit de Monaco,3.337,street,1.2
Baku City Circuit,6.003,street,1.7
Circuit Gilles Villeneuve,4.361,street,1.3
Silverstone Circuit,5.891,circuit,1.0
Red Bull Ring,4.318,circuit,1.4
Circuit Paul Ricard,5.842,circuit,1.5
Hungaroring,4.381,circuit,1.4
Circuit de Spa-Francorchamps,7.004,circuit,1.1
Zandvoort,4.259,circuit,1.3
Monza,5.793,circuit,1.2
Marina Bay Street Circuit,5.063,street,1.8
Suzuka Circuit,5.807,circuit,1.5
Circuit of the Americas,5.513,circuit,1.4
Autódromo Hermanos Rodríguez,4.304,circuit,1.3
Interlagos,4.309,circuit,1.4
Yas Marina Circuit,5.281,circuit,1.3
